Date,Time,Text,Type,Profile,Background,Name
2023.05.18,,방가방가 고원이에요🤍,Default,00,00,고원
2023.05.18,18:43,안뇽,Text,00,00,고원
2023.05.18,18:43,오랜만이에오,Text,00,00,고원
2023.05.18,18:44,며칠동안은 사용법 익히느라,Text,00,00,고원
2023.05.18,18:44,버벅댈수더 있어요,Text,00,00,고원
2023.05.18,18:47,제 프사랑 배경 다 보여요?,Text,00,00,고원
2023.05.18,18:47,신기하구먼요,Text,00,00,고원
2023.05.18,18:47,오빛들도 닉네임 다 보여요,Text,00,00,고원
2023.05.18,18:47,ㅋ ㅋ ㅋ,Text,00,00,고원
2023.05.18,18:48,프사는 안 보여,Text,00,00,고원
2023.05.18,18:48,@,Text,00,00,고원
2023.05.18,18:48,아놔,Text,00,00,고원
2023.05.18,18:49,엥,Text,00,00,고원
2023.05.18,18:49,@ 누구야~,Text,00,00,고원
2023.05.18,18:50,야~,Text,00,00,고원
2023.05.18,18:50,@ 야,Text,00,00,고원
2023.05.18,18:50,아,Text,00,00,고원
2023.05.18,18:50,완료~!,Text,00,00,고원
2023.05.18,18:50,알겠아요이제,Text,00,00,고원
2023.05.18,18:52,ㅋㅋㅋㅋㅋㅋㅋ저메추요?,Text,00,00,고원
2023.05.18,18:52,역시 이렇게 가까운 사이는,Text,00,00,고원
2023.05.18,18:52,오랜만에 봐도 바로..,Text,00,00,고원
2023.05.18,18:53,더워요 날이,Text,00,00,고원
2023.05.18,18:53,냉면,Text,00,00,고원
2023.05.18,18:55,저의 근황은,Text,00,00,고원
2023.05.18,18:56,인스타에도 사징을 올리긴했지만,Text,00,00,고원
2023.05.18,18:56,뽀미랑도 잘 있고,Text,00,00,고원
2023.05.18,18:56,배경 사진처럼 슬램덩크도 봤고,Text,00,00,고원
2023.05.18,18:56,마자요 야구도 보러 갔었고,Text,00,00,고원
2023.05.18,18:57,그냥 일상이에용..,Text,00,00,고원
2023.05.18,18:57,인스타라도 있어서 다행이었어요,Text,00,00,고원
2023.05.18,18:57,우리 오빛들 걱정 많이 할텐데,Text,00,00,고원
2023.05.18,18:58,조은 모습 많이 보야줘야지!,Text,00,00,고원
2023.05.18,18:58,싶어서,Text,00,00,고원
2023.05.18,18:58,오빛들은 잘 지내셨나요~~~?,Text,00,00,고원
2023.05.18,18:58,밥먹어,Text,00,00,고원
2023.05.18,18:58,@ 밥먹어,Text,00,00,고원
2023.05.18,18:58,아직 적응 중..~~,Text,00,00,고원
2023.05.18,11:15,사진 올렸당,Text,00,00,고원
2023.05.18,11:15,아무리 봐도 너무 잘 찍얶어,Text,00,00,고원
2023.05.18,11:17,근데요,Text,00,00,고원
2023.05.18,11:17,궁금한점,Text,00,00,고원
2023.05.18,11:17,닉네임이 약간,Text,00,00,고원
2023.05.18,11:18,계좌인증할때 1원 들어올때 이름 느낌인 오빛들이 많아요,Text,00,00,고원
2023.05.18,11:18,아하,Text,00,00,고원
2023.05.18,11:18,기본 닉네임이래요,Text,00,00,고원
2023.05.18,11:19,단호한래퍼,Text,00,00,고원
2023.05.18,11:19,신선한의자,Text,00,00,고원
2023.05.18,11:19,대박,Text,00,00,고원
2023.05.18,11:19,고원시~♡,Text,00,00,고원
2023.05.18,11:19,드디어 챙겼다,Text,00,00,고원
2023.05.18,11:20,정중한부엌,Text,00,00,고원
2023.05.18,11:20,진자 웃기다,Text,00,00,고원
2023.05.18,11:22,재밌네요,Text,00,00,고원
2023.05.18,11:22,다들 잘자고,Text,00,00,고원
2023.05.18,11:22,좋은 꿈 꾸세요~~!,Text,00,00,고원
2023.05.18,11:22,꿈 안 꾸고 푹 자는 게 좋지만,Text,00,00,고원
2023.05.18,11:22,저는 재밌는 꿈 꾸면 기분 조아요,Text,00,00,고원
2023.05.18,11:24,꺅,Text,00,00,고원
2023.05.18,11:24,지금 자는 건 아닌데,Text,00,00,고원
2023.05.18,11:24,지금 말안하먄,Text,00,00,고원
2023.05.18,11:24,걍 잠들까봐,Text,00,00,고원
2023.05.18,11:24,ㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋ,Text,00,00,고원
2023.05.18,11:24,요즘엔 놀랍게도,Text,00,00,고원
2023.05.18,11:24,일찍 잔답니다,Text,00,00,고원
2023.05.18,11:25,지금 본가에 있는데,Text,00,00,고원
2023.05.18,11:25,오늘 마루밑 아리에티랑,Text,00,00,고원
2023.05.18,11:25,고양이의 보은,Text,00,00,고원
2023.05.18,11:25,대충대충 봤어요,Text,00,00,고원
2023.05.18,11:26,네에 영화!!,Text,00,00,고원
2023.05.18,11:26,에에올이 뭔가여,Text,00,00,고원
2023.05.18,11:26,아,Text,00,00,고원
2023.05.18,11:26,안 봤어요 ㅜ ㅜ,Text,00,00,고원
2023.05.18,11:27,나중에 볼게유,Text,00,00,고원
2023.05.18,11:27,스즈메 당근 봤지여,Text,00,00,고원
2023.05.18,11:27,스즈메,Text,00,00,고원
2023.05.18,11:27,그 고양이,Text,00,00,고원
2023.05.18,11:27,진짜로 아기성우님이 해서,Text,00,00,고원
2023.05.18,11:27,목소리 넘 기여버요,Text,00,00,고원
2023.05.18,11:27,슬램덩크 최애는,Text,00,00,고원
2023.05.18,11:28,못정했어요,Text,00,00,고원
2023.05.18,11:28,다들 최애가 있는건가여?????,Text,00,00,고원
2023.05.18,11:29,우와,Text,00,00,고원
2023.05.18,11:29,생각보다 다들 다양하게 얘기 중,Text,00,00,고원
2023.05.18,11:29,마블 최애요??????,Text,00,00,고원
2023.05.18,11:29,마블은 본 게 없어요,Text,00,00,고원
2023.05.18,11:30,ㅋ,Text,00,00,고원
2023.05.18,11:30,윤대협이 누구!,Text,00,00,고원
2023.05.18,11:30,검색찬스,Text,00,00,고원
2023.05.18,11:30,머리가 특이하군요,Text,00,00,고원
2023.05.18,11:33,아 이름들 좀 보고 왓음여,Text,00,00,고원
2023.05.18,11:34,이거 오빛들 메세지,Text,00,00,고원
2023.05.18,11:34,복사가 안되네요,Text,00,00,고원
2023.05.18,11:34,대충 요약 : 인스타 피드 감성 맞추나요??,Text,00,00,고원
2023.05.18,11:34,이건데,Text,00,00,고원
2023.05.18,11:34,첨에 좀 해보려고 했거든여??????,Text,00,00,고원
2023.05.18,11:34,근데 뭔가 첨부터 잘못됐다..,Text,00,00,고원
2023.05.18,11:34,이걸 점점 느끼고,Text,00,00,고원
2023.05.18,11:34,그냥 포기~!,Text,00,00,고원
2023.05.18,11:36,맘에 안 들면,Text,00,00,고원
2023.05.18,11:36,나중에 없애야지 마인드로,Text,00,00,고원
2023.05.18,11:36,그냥 하는 중이랍니더,Text,00,00,고원
2023.05.18,11:37,그거 아이디는,Text,00,00,고원
2023.05.18,11:37,나름 고민 많이 했어요,Text,00,00,고원
2023.05.18,11:38,그냥 심플한 거 하고 싶었는데,Text,00,00,고원
2023.05.18,11:38,되는 거 열심히 찾다가,Text,00,00,고원
2023.05.18,11:39,예..,Text,00,00,고원
2023.05.18,11:39,친구 아이디어 많이 뺏은거여요,Text,00,00,고원
2023.05.18,11:40,아,Text,00,00,고원
2023.05.18,11:40,🥷,Text,00,00,고원
2023.05.18,11:40,누가 쌔비지 쓴다,Text,00,00,고원
2023.05.18,11:41,실험,Text,00,00,고원
2023.05.18,11:41,에,Text,00,00,고원
2023.05.18,11:41,복사 어케하는지 모르겠다,Text,00,00,고원
2023.05.18,11:41,여진이 사실,Text,00,00,고원
2023.05.18,11:41,다 적고 있는 거 아녀?,Text,00,00,고원
